ALBUM,ID,genre,RTRADE,RSTONE,Q,PASTE,NME,MOJO,DRWND,CoS,UNCUT,SKINNY,CMPLX,CRACK,GvsB,NOISEY,QUIETUS,STRGUM,UPROXX,VNLFCT,WIRE,POPMAT,PFORK,NPR,SPIN,LINE,TMT,ALTERN,FACT,,,,,,,,,,AVG,WT-AVG,CONS SCORE,# Lists,Top 10s
Lil Pump - Lil Pump,278,trap rap,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,49.00,49,74.03703704,1,0
Dave - Game Over,327,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,49.00,49,74.03703704,1,0
Joseph - Shabason - Aytche,329,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,49.00,49,74.03703704,1,0
DJ Quik & Problem - Rosecrans,386,hip hop,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,49.00,49,74.03703704,1,0
Vangelis Katsoulis - If Not Now When,419,ambient,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,49.00,49,74.03703704,1,0
Maalem Mahmoud Gania - Colours of the Night,449,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,49.00,49,74.03703704,1,0
Sarah Shook & The Disarmers - Sidelong,456,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,49.00,49,74.03703704,1,0
Marc-Andre Hamelin - Morton Feldman: For Bunita Marcus,470,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,49.00,49,74.03703704,1,0
Sun Araw - The Saddle of the Increate,505,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,49.00,49,74.03703704,1,0
Heart Attack Man - The Manson Family,537,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,49.00,49,74.03703704,1,0
Temples - Volcano,50,neo-psychedelia,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.00,50,74.07407407,1,0
Code Orange - Forever,91,metalcore,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.00,50,74.07407407,1,0
Pumarosa - The Witch,121,indie rock,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.00,50,74.07407407,1,0
JD McPherson - Undivided Heart & Soul,148,rockabilly,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.00,50,74.07407407,1,0
Wrongtom & The Ragga Twins - In Time,183,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.00,50,74.07407407,1,0
Propagandhi - Victory Lap,333,hardcore punk,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,50.00,50,74.07407407,1,0
Alan Vega - IT,372,industrial,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,50.00,50,74.07407407,1,0
Gosheven - Leaper,450,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,50.00,50,74.07407407,1,0
Caracara - Summer Megalith,538,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,50.00,50,74.07407407,1,0
Nathan Fake - Providence,549,microhouse,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,50.00,50,74.07407407,1,0
