ALBUM,ALTRNV,BPM,BLBRD,BKVEG,CLASH,CMPLX,COS,CRACK,DOUBJ,EXCLM,FADER,FAROUT,GDINTV,GVSB,GUARD,HOTPRS,KERNG,LINE,LTW,METHAM,MOJO,MONDO,MSOMH,NME,NORIP,NORTH,WEISS,PASTE,PICC,PFORK,POPMT,QTUS,RS,RTRADE,SLANT,SPTNIK,SGUM,STLISTN,TREBLE,UNCUT,UTR,WHYNW,WIRE,XSNZE,,AVG,WT-AVG,CONS SCORE,# Lists,Top 10s,#1s
Svalbard - The Weight of the Mask,,,,,,,,,,,,,,,,,12,,,6,,,,,,,,,,,,,,,,42,,,,,,,,,,20.00,6.666666667,71.25,3,1,0
Gensis Owusu - STRUGGLER,,,,,,,37,,6,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,20.33,6.777777778,71.27272727,3,1,0
Maria BC - Spike Field,,,,,,,,,,,30,,,,,,,,,,,,,,,,,14,,,,,,,,,,18,,,,,,,,20.67,6.888888889,71.29545455,3,0,0
Cleo Sol - Heaven,,,,,19,30,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.00,7,71.31818182,3,0,0
Inhaler - Cuts & Bruises,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,43,,14,,21.00,7,71.31818182,3,1,0
Jessy Lanza - Love Hallucination,,,,,30,,,,,,,,,14,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,21.33,7.111111111,71.34090909,3,0,0
GEL - Only Constant,,,,,,,,,,,,,,,,,29,,19,,,,,,,,,,,,,,,,,,,,20,,,,,,,22.67,7.555555556,71.43181818,3,0,0
Baroness - Stone,,,,,,,48,,,,,,,,,,13,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,23.33,7.777777778,71.47727273,3,1,0
Unknown Mortal Orchestra - V,,,,,,,,,17,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,41,,,,,,23.67,7.888888889,71.5,3,0,0
"John Francis Lynn - Look Over the Wall, See the Sky",,,,,,,,,,,31,,,,,37,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,24.33,8.111111111,71.54545455,3,1,0
Billy Nomates - CACTI,,,,,,,,,,,,,10,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,35,,24.67,8.222222222,71.56818182,3,1,0
CASisDEAD - FAMOUS LAST WORDS,,,,,18,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,45,,,,,,,,24.67,8.222222222,71.56818182,3,0,0
Gaz Coombes.- Turn The Car Around,,,,,,,,,,,,,,,,,,,,,38,,11,,,,,,25,,,,,,,,,,,,,,,,,24.67,8.222222222,71.56818182,3,0,0
Horrendous - Ontological Mysterium,,,,12,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,17,,,,,,,,,,25.33,8.444444444,71.61363636,3,0,0
Algiers - Shook,,,,,,,,,,,,,,,,41,,,32,,,,,,,,,,,,36,,,,,,,,43,,,,,,,38.00,9.5,71.63636364,4,0,0
Creeper - Sanguivore,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,0.75,71.65909091,2,2,1
Girl Ray - Prestige,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,28,,,,,26.00,8.666666667,71.65909091,3,0,0
Jorja Smith - falling or flying,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,46,,,,26.33,8.777777778,71.68181818,3,1,0
The Coral - Sea of Mirrors,,,,,,,,,,,,,,,,,,,,,12,,48,,,,,,,,,,,,,,,,,19,,,,,,26.33,8.777777778,71.68181818,3,0,0
The Necks - Travel,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,21,,,46,,,26.67,8.888888889,71.70454545,3,0,0
Holly Humberstone - Paint My Bedroom Black,,,,,,,,,,,,,,,,16,,,,,,,,39,,,,,,,,,,,,,,,,,,26,,,,27.00,9,71.72727273,3,0,0
Gunna - a Gift & a Curse,,,33,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,27.33,9.111111111,71.75,3,1,1
Mozart Estate - Pop-Up! Ker-ching! and the Possibilities...,,,,,,,,,,,,,17,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,39,,,27.67,9.222222222,71.77272727,3,0,0
Kylie Minogue - Tension,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,16,,45,,,,,,,,,,,,,28.33,9.444444444,71.81818182,3,0,0
Noel Gallagher's High Flying Birds - Council Skies,,,,,,,,,40,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,26,,28.33,9.444444444,71.81818182,3,0,0
Paul Simon - Seven Psalms,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,2,,,,,,5.00,2.5,71.81818182,2,2,0
ML Buch - Suntub,,,,,,,,,,9,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.50,2.75,71.84090909,2,2,0
"Black Belt Eagle Scout - The Land, the Water, the Sky",38,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,29.00,9.666666667,71.86363636,3,1,0
Lonnie Holley - Oh Me Oh My,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,37,,,,,,,,,,7,,,,,,29.00,9.666666667,71.86363636,3,1,0
Baxter Dury - I Thought I Was Better Than You,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,7,,,,,,,,,,,,6.50,3.25,71.88636364,2,2,0
Asake - Work Of Art,,,,,,,45,38,,,44,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,41.00,10.25,71.90909091,4,0,0
Mariam Rezaei - Bown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,6,,,8.00,4,71.95454545,2,2,0
James Holden - Imagine This Is A High Dimensional Space...,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,27,,,,,,,,,,,,,,47,,,30.67,10.22222222,71.97727273,3,0,0
Durand Jones - Wait Til I Get Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,16,,,,,,,,,,,,9.00,4.5,72,2,1,0
Green Lung - This Heathen Land,,,,,,,,,,,,,,,,,10,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,9.00,4.5,72,2,2,0
Brent Faiyaz - Larger Than Life,,,37,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,31.67,10.55555556,72.04545455,3,0,0
Jlin - Perspective,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,28,,,,35,,,,,,,31.67,10.55555556,72.04545455,3,0,0
Sunny War - Anarchist Gospel,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,48,,,,,,,,,34,,,,,,31.67,10.55555556,72.04545455,3,0,0
Brìghde Chaimbeul - Carry Them With Us,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,13,,,,,,,,,,,,,,10.50,5.25,72.06818182,2,1,0
Ragana - Desolation's Flower,,,,28,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,41,,,,,,,32.33,10.77777778,72.09090909,3,0,0
Code Orange - The Above,,,,,,,,,,,,,,,,,20,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,11.50,5.75,72.11363636,2,1,0
Philip Jeck & Chris Watson - Oxmardyke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,2,,,11.50,5.75,72.11363636,2,1,0
Altin Gün - Ask,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,14,,,,,,,,,,,,12.50,6.25,72.15909091,2,0,0
Katatonia - Sky Void of Stars,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,7,,,,,,,,,,13.00,6.5,72.18181818,2,1,0
Peso Pluma - GÉNESIS,,,11,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.00,6.5,72.18181818,2,0,0
Tirzah - trip9love...???,,,,,,,,,,,,,,13,,,,44,,,,,44,,,,,,,,,,,,,,,,,,,,,,,33.67,11.22222222,72.18181818,3,0,0
Titanic - Vidrio,,41,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,19,,,,,,,33.67,11.22222222,72.18181818,3,0,0
Being Dead - When Horses Would Run,,,,,,,,,,,,17,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.50,6.75,72.20454545,2,1,0
Fred Again.. & Brian Eno - Secret Life,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,13.50,6.75,72.20454545,2,1,0
U.S. Girls - Bless This Mess,,,,,,,,,,35,,,26,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,34.00,11.33333333,72.20454545,3,0,0
Robert Forster - The Candle and the Flame,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,24,,,,,,14.00,7,72.22727273,2,1,0
Teeth of the Sea - Hive,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,3,,,,,,,,,,,,,,14.00,7,72.22727273,2,1,0
Zoon - Bekka Ma'iingan,,,,,,,,,,14,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,14.50,7.25,72.25,2,0,0
Eddie Chacon - Sundown,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,29,,,,,,,,,,,37,,,,,,35.33,11.77777778,72.29545455,3,0,0
Osees - Intercepted Message,,,,,,,,,,,,,,,,,,,7,,49,,,,,,,,50,,,,,,,,,,,,,,,,,35.33,11.77777778,72.29545455,3,1,0
Sparklehorse - Bird Machine,,,,,,,,,,,,,,,,,,,23,,,,,,46,,,,37,,,,,,,,,,,,,,,,,35.33,11.77777778,72.29545455,3,0,0
Tujiko Noriko - Crépuscule I & II,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,15.50,7.75,72.29545455,2,0,0
"Angie McMahon - Light, Dark, Light Again",,,,,,,,,9,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.00,8,72.31818182,2,1,0
Sigur Rós - ÁTTA,,32,,,,,,,,,,,,,,,,,,,,44,31,,,,,,,,,,,,,,,,,,,,,,,35.67,11.88888889,72.31818182,3,0,0
Skindred - Smile,,,,,,,,,,,,,,,,,14,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,16.00,8,72.31818182,2,0,0
Fireworks - Higher Lonely Power,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,16.50,8.25,72.34090909,2,0,0
Margaret Glaspy - Echo the Diamond,,,,,,,42,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,43,,,,,36.00,12,72.34090909,3,0,0
Pupil Slicer - BLOSSOM,,,,,,,,,,,,,,,,,5,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,16.50,8.25,72.34090909,2,1,0
The WAEVE - The WAEVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,8,,,,,16.50,8.25,72.34090909,2,1,0
Irreversible Entanglements - Protect Your Light,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,7,,,17.00,8.5,72.36363636,2,1,0
Dougie Poole - The Rainbow Wheel of Death,,31,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,17.50,8.75,72.38636364,2,1,0
Liturgy - 93696,,,,32,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.50,8.75,72.38636364,2,1,0
Matthew Halsall - An Ever Changing View,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,27,,,,,,17.50,8.75,72.38636364,2,1,0
Empire State Bastard - Rivers of Heresy,,,,,,,,,,,,,,,,,22,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,18.00,9,72.40909091,2,0,0
Baaba Maal - Being,,,,,,,,,,,,34,,,,,,,,,,,47,,,,,,,,,,,,,,,,,31,,,,,,37.33,12.44444444,72.43181818,3,0,0
Dødheimsgard - Black Medium Current,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,12,,,,,,,,,,18.50,9.25,72.43181818,2,0,0
VV - Neon Noir,,,,,,,,,,,,,,,,,23,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,19.00,9.5,72.45454545,2,0,0
A.S. Fanning - Mushroom Cloud,,,,,,,,,,,,3,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.50,9.75,72.47727273,2,1,0
HiTech - DÉTWAT,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,19.50,9.75,72.47727273,2,1,0
Miss Grit - Follow the Cyborg,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,14,,,,,19.50,9.75,72.47727273,2,0,0
Enslaved - Heimdal,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,13,,,,,,,,,,20.00,10,72.5,2,0,0
Kesha - Gag Order,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,16,,,,,,,,,,,20.00,10,72.5,2,0,0
Slauson Malone 1 - EXCELSIOR,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,20.50,10.25,72.52272727,2,0,0
Pigs Pigs Pigs Pigs Pigs Pigs Pigs Pigs - Land of Sleeper,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,35,,,,,,,,,,,,21.50,10.75,72.56818182,2,1,0
TesseracT - War of Being,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,36,,21.50,10.75,72.56818182,2,1,0
Fiddlehead - Death is Nothing to Us,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,22.00,11,72.59090909,2,1,0
Ken Carson - A Great Chaos,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,22.00,11,72.59090909,2,0,0
Ben Howard - Is It?,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,22.50,11.25,72.61363636,2,0,0
Diners - DOMINO,14,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,22.50,11.25,72.61363636,2,0,0
Miley Cyrus - Endless Summer Vacation,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,23.00,11.5,72.63636364,2,0,0
Jalen Ngonda - Come Around and Love Me,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,9,,,,,,,,,,,,,,,,,23.50,11.75,72.65909091,2,1,0
Joy Oladokun - Proof of Life,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,23.50,11.75,72.65909091,2,0,0
Sprain - The Lamb as Effigy,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,33,,,,,,,40.67,13.55555556,72.65909091,3,0,0
Young Nudy - Gumbo,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,23.50,11.75,72.65909091,2,0,0
Fucked Up - One Day,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,49,,,,38,,,,,,,41.00,13.66666667,72.68181818,3,0,0
NewJeans - Get Up,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,24.00,12,72.68181818,2,0,0
Róisín Murphy - Hit Parade,,,,,,,,,,,,,,,,,,,,,,,40,,,35,,,,,,,,,48,,,,,,,,,,,41.00,13.66666667,72.68181818,3,0,0
Gracie Abrams - Good Riddance,,,24,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.50,12.75,72.75,2,0,0
Jonnine - Maritz,,,,,,,,16,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.50,12.75,72.75,2,0,0
Urne - A Feast on Sorrow,,,,,,,,,,,,,,,,,38,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,25.50,12.75,72.75,2,0,0
BIG | BRAVE - nature morte,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,26.00,13,72.77272727,2,0,0
Fall Out Boy - So Much (For) Stardust,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,26.00,13,72.77272727,2,0,0
Kate NV - WOW,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,26.00,13,72.77272727,2,1,0
The Japanese House - In The End It Always Does,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,18,,,,26.00,13,72.77272727,2,0,0
Lael Neale - Star Eaters Delight,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,26.50,13.25,72.79545455,2,0,0
Rozi Plain - Prize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,30,,,,,,,,26.50,13.25,72.79545455,2,0,0
Strange Ranger - Pure Music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,22,,,,,26.50,13.25,72.79545455,2,0,0
underscores - Wallsocket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,20,,,,,,,,26.50,13.25,72.79545455,2,0,0
Bill Orcutt - The Anxiety of Symmetry,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,17,,,,,,,,,,,,,,27.00,13.5,72.81818182,2,0,0
Bombay Bicycle Club - My Big Day,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,27.00,13.5,72.81818182,2,0,0
Caroline Rose - The Art of Forgetting,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,13,,,,,27.00,13.5,72.81818182,2,0,0
Reneé Rapp - Snow Angel,,,10,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.50,13.75,72.84090909,2,1,0
SPELLLING - SPELLLING & The Mystery School,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,10,,,,,,,,27.50,13.75,72.84090909,2,1,0
Jamila Woods - Water Made Us,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,28.00,14,72.86363636,2,0,0
Madness - Theatre of the Absurd Presents C'est La Vie,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,28.00,14,72.86363636,2,0,0
RAYE - My 21st Century Blues,,,34,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.00,14,72.86363636,2,0,0
Superviolet - Infinite Spring,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,28.00,14,72.86363636,2,0,0
Temples - Exotico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,11,,,,28.00,14,72.86363636,2,0,0
Squirrel Flower - Tomorrow's Fire,,,,,,,,,,,,,,,,,,,,,,,,,12,,,45,,,,,,,,,,,,,,,,,,28.50,14.25,72.88636364,2,0,0
Carly Rae Jepsen - The Loveliest Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,44,,,,,,,29.00,14.5,72.90909091,2,0,0
Protomartyr - Formal Growth in the Desert,,49,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,29.00,14.5,72.90909091,2,1,0
The Tubs - Dead Meat,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,18,,,,,,,,,29.00,14.5,72.90909091,2,0,0
Ash - Race the Night,,,,,,,,,,,,,27,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.50,14.75,72.93181818,2,0,0
Bill Orcutt - Jump On It,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,27,,,29.50,14.75,72.93181818,2,0,0
Larry June & The Alchemist - The Great Escape,,,,,,19,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,29.50,14.75,72.93181818,2,0,0
Raphael Rogiński - Talàn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,11,,,29.50,14.75,72.93181818,2,0,0
Niecy Blues - Exit Simulation,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,30.00,15,72.95454545,2,0,0
Aho Ssan - Rhizomes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,23,,,30.50,15.25,72.97727273,2,0,0
ØXN - CYRM,,,,,,,,,,,,,,,,44,,,48,,,,,,,,,,,,,44,,,,,,,,,,,,,,45.33,15.11111111,72.97727273,3,0,0
SBT - Joan Of All,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,28,,,,,,30.50,15.25,72.97727273,2,0,0
Pangaea - Changing Channels,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,31.50,15.75,73.02272727,2,0,0
Panopticon - The Rime of Memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,43,,,,,,,,,31.50,15.75,73.02272727,2,0,0
Agust D - D-DAY,,,,,,,27,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,32.50,16.25,73.06818182,2,0,0
Kassi Valazza - Kassi Valazza Knows Nothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,40,,,,32.50,16.25,73.06818182,2,0,0
Skrillex - Quest For Fire,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,22,,,,,,,,,,,32.50,16.25,73.06818182,2,0,0
This Is The Kit - Careful Of Your Keepers,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,32.50,16.25,73.06818182,2,0,0
Drain - Living Proof,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,33.00,16.5,73.09090909,2,0,0
J Hus - Beautiful and Brutal Yard,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,34,,,,33.00,16.5,73.09090909,2,0,0
Meg Baird - Furling,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,45,,,,,,,33.00,16.5,73.09090909,2,0,0
Gazelle Twin - Black Dog,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,26,,,,,,,,,,,,,,34.00,17,73.13636364,2,0,0
Hamish Hawk - Angel Numbers,,,,,,,,,,,,35,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.00,17,73.13636364,2,0,0
HiFi Sean & David McAlmont - Happy Ending,,,,,,,,,,,,,,,,,,,47,,,,21,,,,,,,,,,,,,,,,,,,,,,,34.00,17,73.13636364,2,0,0
Modern Nature - No Fixed Point In Space,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,34.00,17,73.13636364,2,0,0
Oxbow - Love's Holiday,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,37,,,,,,,,,,34.00,17,73.13636364,2,0,0
Home Front - Games of Power,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,34.50,17.25,73.15909091,2,0,0
The Streets - The Darker The Shadow The Brighter The Light,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,35.00,17.5,73.18181818,2,0,0
Purelink - Signs,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,35.50,17.75,73.20454545,2,0,0
Yazmin Lacey - Voice Notes,,,,,23,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,35.50,17.75,73.20454545,2,0,0
DJ Sabrina The Teenage DJ - Destiny,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,36.00,18,73.22727273,2,0,0
HMTLD - The Worm,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,34,,,,,,,,36.50,18.25,73.25,2,0,0
The Mountain Goats - Jenny From Thebes,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,42,,,,,,,,,,,,,,,36.50,18.25,73.25,2,0,0
ICECOLDBISHOP - GENERATIONAL CURSE,,37,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.00,18.5,73.27272727,2,0,0
King Gizzard & The Lizard Wizard - The Silver Cord,,,,,,,,,,,,,,,,,,,27,,,48,,,,,,,,,,,,,,,,,,,,,,,,37.50,18.75,73.29545455,2,0,0
Samia - Honey,,,,,,,,,,,49,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.50,18.75,73.29545455,2,0,0
H Hawkline - Milk for Flowers,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,1,73.31818182,1,1,1
Within Temptation - Bleed Out,,,,,,,,,,,,,,,,,42,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,38.00,19,73.31818182,2,0,0
Bad//Dreems - HOO HA!,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,2,73.34090909,1,1,0
Bendik Giske - Bendik Giske,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,2,73.34090909,1,1,0
House of All - House of All,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,2,73.34090909,1,1,0
Sparks - The Girl Is Crying in Her Latte,,,,,,,,,,,,47,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,38.50,19.25,73.34090909,2,0,0
The Lottery Winners - Anxiety Replacement Therapy,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,38.50,19.25,73.34090909,2,0,0
There Will Be Fireworks - Summer Moon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2.00,2,73.34090909,1,1,0
Darius Jones - fLuXkit Vancouver (i​̶​t​̶​s̶ suite but sacred),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,3.00,3,73.36363636,1,1,0
Tainy - DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,3.00,3,73.36363636,1,1,0
Catatonic Suns - Catatonic Suns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,4.00,4,73.38636364,1,1,0
Holding Absence - The Noble Art of Self Destruction,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,4,73.38636364,1,1,0
La Baracande - La Baracande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,4.00,4,73.38636364,1,1,0
Laufey - Bewitched,,,46,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,39.50,19.75,73.38636364,2,0,0
Laura Groves - Radio Red,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,4,73.38636364,1,1,0
Lol Tolhurst X Budgie X Jacknife Lee - Los Angeles,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,4,73.38636364,1,1,0
